기간	자치구	동	일반가구	일반가구	일반가구	일반가구	일반가구	일반가구	일반가구	일반가구
기간	자치구	동	계	1인가구	2인가구	3인가구	4인가구	5인가구	6인가구	7인이상 가구
2020	서대문구	남가좌1동	5,402	942	1,273	1,544	1,320	268	48	7
2020	서대문구	남가좌2동	12,020	4,237	3,051	2,413	1,835	373	93	18
2020	서대문구	북가좌1동	6,483	1,172	1,840	1,691	1,406	304	63	7
2020	서대문구	북가좌2동	13,580	4,463	3,788	2,752	2,005	474	82	16
2020	서대문구	충현동	9,108	3,880	2,202	1,546	1,137	274	58	11
2020	서대문구	북아현동	6,867	2,261	1,789	1,552	1,041	178	40	6
2020	서대문구	신촌동	12,532	9,002	1,902	885	553	139	42	9
2020	서대문구	연희동	18,393	9,005	4,178	2,670	1,920	486	109	25
2020	마포구	소계	160,681	63,172	40,569	29,490	21,726	4,654	851	219
2020	마포구	용강동	8,369	2,388	2,156	1,931	1,516	306	61	11
2020	마포구	대흥동	7,321	4,027	1,625	901	619	121	21	7
2020	마포구	염리동	4,969	1,775	1,247	1,012	759	147	23	6
2020	마포구	신수동	9,523	3,184	2,419	2,004	1,531	294	67	24
2020	마포구	서교동	13,887	8,192	3,033	1,484	923	205	40	10
2020	마포구	합정동	8,280	3,699	2,318	1,300	750	172	33	8
2020	마포구	망원1동	9,328	3,829	2,587	1,521	1,062	270	50	9
2020	마포구	망원2동	7,676	2,398	2,172	1,513	1,256	276	43	18
2020	마포구	연남동	7,948	4,142	1,905	1,056	638	159	36	12
2020	마포구	성산1동	8,637	3,506	2,281	1,508	1,011	267	50	14
2020	마포구	성산2동	17,393	6,694	4,416	3,173	2,470	518	95	27
2020	마포구	상암동	12,053	3,741	2,719	2,510	2,379	601	85	18
2020	마포구	도화동	8,466	2,610	2,251	1,849	1,378	304	61	13
2020	마포구	서강동	10,845	4,380	2,521	2,056	1,537	287	53	11
2020	마포구	공덕동	16,526	6,338	4,328	3,123	2,165	461	91	20
2020	마포구	아현동	9,460	2,269	2,591	2,549	1,732	266	42	11
2020	양천구	소계	166,044	39,436	43,102	40,503	34,789	6,743	1,195	276
2020	양천구	목1동	9,943	1,189	2,066	3,092	2,999	490	88	19
2020	양천구	목2동	12,091	3,752	3,216	2,652	1,951	413	82	25
2020	양천구	목3동	9,181	2,963	2,625	1,967	1,321	230	62	13
2020	양천구	목4동	9,279	2,280	2,094	2,230	2,161	420	77	17
2020	양천구	신월1동	9,019	3,273	2,560	1,768	1,109	243	55	11
2020	양천구	신월2동	7,856	1,749	2,292	1,926	1,430	363	71	25
2020	양천구	신월3동	7,061	2,877	1,966	1,163	787	215	42	11
2020	양천구	신월4동	6,464	1,151	1,780	1,744	1,414	288	75	12
2020	양천구	신월5동	5,813	1,567	1,670	1,318	971	222	53	12
2020	양천구	신월6동	4,839	874	1,365	1,290	1,074	202	31	X
2020	양천구	신월7동	8,315	2,217	2,793	1,846	1,175	234	39	11
2020	양천구	신정1동	6,673	929	1,467	1,772	2,087	350	60	8
2020	양천구	신정2동	6,601	1,148	1,419	1,707	1,883	383	53	8
2020	양천구	신정3동	16,776	3,582	4,629	4,035	3,516	852	134	28
2020	양천구	신정6동	7,796	728	1,755	2,491	2,386	374	51	11
2020	양천구	신정7동	10,910	2,450	2,881	2,727	2,385	399	51	17
2020	양천구	목5동	12,866	1,185	2,580	4,057	4,281	650	92	21
2020	양천구	신정4동	14,561	5,522	3,944	2,718	1,859	415	79	24
2020	강서구	소계	244,097	86,172	65,175	47,721	35,598	7,673	1,416	342
2020	강서구	염창동	14,685	2,993	3,449	3,949	3,541	632	99	22
2020	강서구	등촌1동	11,958	6,021	2,753	1,739	1,196	206	33	10
2020	강서구	등촌2동	8,112	2,147	2,279	1,880	1,412	321	51	22
2020	강서구	등촌3동	14,168	5,335	4,207	2,638	1,654	270	52	12
2020	강서구	화곡본동	15,070	5,647	4,170	2,754	1,946	460	75	18
2020	강서구	화곡2동	7,552	2,322	2,206	1,605	1,072	292	46	9
2020	강서구	화곡3동	8,378	2,282	2,433	1,849	1,360	353	78	23
2020	강서구	화곡4동	8,911	2,969	2,601	1,797	1,207	281	40	16
2020	강서구	화곡6동	10,793	4,182	2,846	1,982	1,407	297	68	11
2020	강서구	화곡8동	10,639	3,346	3,343	2,167	1,411	299	58	15
2020	강서구	가양1동	18,538	11,023	3,431	2,146	1,535	325	64	14
2020	강서구	가양2동	7,529	3,623	2,274	1,027	470	106	23	6
2020	강서구	가양3동	7,457	2,925	2,553	1,289	551	117	22	X
2020	강서구	발산1동	12,733	2,152	3,244	3,204	3,239	740	123	31
2020	강서구	공항동	11,435	4,329	2,906	2,118	1,618	376	78	10
2020	강서구	방화1동	16,186	3,791	4,239	3,807	3,347	833	139	30
2020	강서구	방화2동	10,212	4,206	2,791	1,722	1,111	290	76	16
2020	강서구	방화3동	10,364	3,815	3,142	1,898	1,191	253	49	16
2020	강서구	화곡1동	24,434	10,238	6,761	4,277	2,502	514	114	28
2020	강서구	우장산동	14,943	2,826	3,547	3,873	3,828	708	128	33
2020	구로구	소계	164,083	50,971	45,518	34,645	25,747	5,756	1,160	286
2020	구로구	신도림동	12,727	2,324	3,286	3,478	2,969	552	100	18
2020	구로구	구로1동	7,913	1,822	2,079	1,929	1,707	308	61	7
2020	구로구	구로3동	12,041	6,197	2,625	1,688	1,198	261	49	23
2020	구로구	구로4동	9,426	3,764	2,750	1,681	984	195	37	15
2020	구로구	구로5동	13,234	5,350	3,468	2,366	1,612	344	75	19
2020	구로구	고척1동	8,802	2,216	2,481	1,992	1,683	342	77	11
2020	구로구	고척2동	10,676	2,916	2,989	2,341	1,919	395	94	22
2020	구로구	개봉2동	11,718	2,373	3,521	3,004	2,208	480	110	22
2020	구로구	개봉3동	8,073	1,860	2,565	1,944	1,340	294	58	12
2020	구로구	오류1동	10,547	4,624	2,786	1,710	1,094	263	48	22
